player_id,real_name,shirt_number,original_position,team_id,team_name,is_goalkeeper
DFL-OBJ-0002DR,Y. Sommer,27,TW,DFL-CLU-00000G,FC Bayern München,1
DFL-OBJ-0000LT,S. Ulreich,26,NA,DFL-CLU-00000G,FC Bayern München,NA
DFL-OBJ-0000RP,E. Choupo-Moting,13,STZ,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0000IA,T. Müller,25,ZO,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J00USE,D. Blind,23,NA,DFL-CLU-00000G,FC Bayern München,NA
DFL-OBJ-000191,Leon Goretzka,8,DML,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J0117H,S. Mané,17,NA,DFL-CLU-00000G,FC Bayern München,NA
DFL-OBJ-0027G6,Serge Gnabry,7,STZ,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0002F5,Joshua Kimmich,6,DMR,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0026PM,Kingsley Coman,11,OLM,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0002AU,Leroy Sané,10,ORM,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J015S4,Joao Cancelo,22,DLM,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0027KL,Dayot Upamecano,2,IVR,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0027G0,Benjamin Pavard,5,RV,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J017RE,M. de Ligt,4,IVL,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J01APO,N. Mazraoui,40,LV,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J01B8N,Ryan Gravenberch,38,DML,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-002GIC,J. Stanišić,44,NA,DFL-CLU-00000G,FC Bayern München,NA
DFL-OBJ-002GCR,J. Musiala,42,ZO,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-J01N65,Mathys Tel,39,STL,DFL-CLU-00000G,FC Bayern München,0
DFL-OBJ-0027AX,F. Kainz,11,ZO,DFL-CLU-000008,1. FC Köln,0
DFL-OBJ-0000M0,Timo Horn,1,NA,DFL-CLU-000008,1. FC Köln,NA
DFL-OBJ-00012X,Jonas Hector,14,LV,DFL-CLU-000008,1. FC Köln,0
DFL-OBJ-000270,D. Selke,27,STZ,DFL-CLU-000008,1. FC Köln,0
DFL-OBJ-0002HE,M. Schwäbe,20,TW,DFL-CLU-000008,1. FC Köln,1
DFL-OBJ-0002BO,B. Schmitz,2,RV,DFL-CLU-000008,1. FC Köln,0
DFL-OBJ-0027V2,K. Schindler,17,RV,DFL-CLU-000008,1. FC Köln,0
DFL-OBJ-0027B6,Timo Hübers,4,IVR,DFL-CLU-000008,1. FC Köln,0
